"severity","dimension","code","name","stage","detail"
"debt","deepVerification.notApproved","1926","ライト工業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1928","積水ハウス","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","1929","日特建設","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","192A","インテグループ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1930","北陸電気工事","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1934","ユアテック","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1938","日本リーテック","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1939","四電工","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1941","中電工","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1942","関電工","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1944","きんでん","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1945","東京エネシス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1946","トーエネック","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1948","弘電社","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","194A","ＷＯＬＶＥＳ ＨＡＮＤ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1950","日本電設工業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1951","エクシオグループ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1952","新日本空調","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1959","クラフティア","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","195A","ＭＵＳＣＡＴ ＧＲＯＵＰ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1960","サンテック","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1961","三機工業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1963","日揮ホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1964","中外炉工業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1965","テクノ菱和","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1966","高田工業所","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1967","ヤマト","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1968","太平電業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1969","高砂熱学工業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","196A","ＭＦＳ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1972","三晃金属工業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1975","朝日工業社","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1976","明星工業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1979","大氣社","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","197A","タウンズ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1980","ダイダン","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1981","協和日成","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1982","日比谷総合設備","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","198A","ＰｏｓｔＰｒｉｍｅ","core","status=not_started, stars=2"
