"code","name","market","industry","stage","deepVerified","provisionalCandidate","templateLike","formalPlan","financialStatementSource","administrativeDocument","pageEvidence","genericMetricFields","specificMetricFields","progressConnected","withinThreeYears","phaseScore","document","planPublishedDate","sourceUrl","templatePatternIds"
"8544","京葉銀行","Prime","銀行業","core","false","true","true","true","false","false","2","2","0","true","true","91","長期ビジョンおよび第20次中期経営計画における財務KPIの見直しに関するお知らせ","2025-02-07","https://www2.jpx.co.jp/disc/85440/140120250205563733.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8550","栃木銀行","Prime","銀行業","core","false","false","true","false","true","false","3","3","0","true","true","23","2026年3月期決算説明資料","2026-05-13","https://www2.jpx.co.jp/disc/85500/140120260512526733.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8551","北日本銀行","Prime","銀行業","core","false","true","true","true","false","false","5","3","0","true","false","88","「中期経営計画」の策定について","2023-04-14","https://www2.jpx.co.jp/disc/85510/140120230414547407.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8558","東和銀行","Prime","銀行業","core","false","true","true","true","false","false","3","2","0","true","true","103","第1期中期経営計画および長期ビジョンにおける財務目標の見直しに関するお知らせ","2026-05-25","https://www2.jpx.co.jp/disc/85580/140120260525546909.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8562","福島銀行","Standard","銀行業","core","false","true","true","true","false","false","2","0","0","true","true","87","中期経営計画の策定について","2024-05-14","https://www2.jpx.co.jp/disc/85620/140120240514595326.pdf","generic_period|generic_topics_statement|generic_page_evidence|generic_primary_evidence_count|generic_jpx_summary"
"8563","大東銀行","Standard","銀行業","core","false","true","true","true","false","false","3","4","0","true","true","103","第7次中期経営計画の策定について","2026-04-13","https://www2.jpx.co.jp/disc/85630/140120260413502352.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8566","リコーリース","Prime","その他金融業","core","false","false","true","false","false","false","4","5","0","true","true","68","統合報告書 2025","2025-10-01","https://www2.jpx.co.jp/disc/85660/140120250930564821.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8570","イオンフィナンシャルサービス","Prime","その他金融業","core","false","true","true","true","false","false","3","4","0","true","true","103","中期経営計画(2026年度~2030年度)の策定に関するお知らせ","2026-04-08","https://www2.jpx.co.jp/disc/85700/140120260408500218.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8572","アコム","Standard","その他金融業","core","false","false","true","false","true","false","4","5","0","true","true","27","2026年3月期決算短信〔日本基準〕(連結)","2026-05-12","https://www2.jpx.co.jp/disc/85720/140120260512525494.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8584","ジャックス","Prime","その他金融業","core","false","true","true","true","false","false","3","4","0","true","true","96","中期経営計画策定に関するお知らせ","2025-03-14","https://www2.jpx.co.jp/disc/85840/140120250314593858.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8585","オリエントコーポレーション","Prime","その他金融業","core","false","true","true","true","false","false","3","5","0","true","true","97","(訂正)『「新中期経営計画」の策定に関するお知らせ』の一部訂正について","2025-05-14","https://www2.jpx.co.jp/disc/85850/140120250514551838.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8591","オリックス","Prime","その他金融業","core","false","true","false","true","false","false","4","0","1","true","true","147","オリックス 中期経営計画・ORIX Group Growth Strategy 2035","2025-05-12","https://www.orix.co.jp/grp/company/ir/growth_strategy/",""
"8593","三菱HCキャピタル","Prime","その他金融業","core","false","true","true","true","false","false","3","4","0","true","true","103","2026~2028年度中期経営計画(2028中計)について","2026-04-17","https://www2.jpx.co.jp/disc/85930/140120260417505850.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8595","ジャフコ グループ","Prime","証券、商品先物取引業","core","false","false","true","false","false","false","3","3","0","true","true","62","企業価値向上に向けた国内投資への集中及び株主還元の強化に関するお知らせ","2025-04-23","https://www2.jpx.co.jp/disc/85950/140120250423520822.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8596","九州リースサービス","Standard","その他金融業","core","false","true","true","true","false","false","5","4","0","true","true","99","新中期経営計画(2024 年4月~2027 年3月)策定のお知らせ","2024-05-08","https://www2.jpx.co.jp/disc/85960/140120240508583695.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8600","トモニホールディングス","Prime","銀行業","core","false","false","true","false","false","false","4","4","0","true","true","72","資本コストや株価を意識した経営の実現に向けた対応等について","2026-05-14","https://www2.jpx.co.jp/disc/86000/140120260512525109.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8601","大和証券グループ本社","Prime","証券、商品先物取引業","core","false","true","false","true","false","false","5","0","3","true","true","169","大和証券グループ 2026年度経営方針・中期経営計画 Passion for the Best 2026","2026-05-21","https://www.daiwa-grp.jp/about/management/strategy/",""
"8604","野村ホールディングス","Prime","証券、商品先物取引業","core","false","false","false","false","false","false","0","0","3","true","true","114","2030年に向けた経営ビジョン(2026年上方修正)","2026-05-29","https://www.nomuraholdings.com/jp/investor/presentation/main/018/teaserItems1/00/tableContents/00/multiFileUpload30/link/2026_0529_01_prem.pdf",""
"8609","岡三証券グループ","Prime","証券、商品先物取引業","core","false","true","true","true","false","false","3","3","0","true","false","80","新中期経営計画策定に関するお知らせ","2023-03-24","https://www2.jpx.co.jp/disc/86090/140120230324535718.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8613","丸三証券","Prime","証券、商品先物取引業","core","false","true","true","true","false","false","3","2","0","true","true","91","中期経営計画の策定並びに「資本コストや株価を意識した経営の実現に向けた対応」に関するお知らせ","2024-04-26","https://www2.jpx.co.jp/disc/86130/140120240426577733.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8614","東洋証券","Prime","証券、商品先物取引業","core","false","true","true","true","false","false","5","4","0","true","true","102","第六次中期経営計画の見直しに関するお知らせ","2024-10-30","https://www2.jpx.co.jp/disc/86140/140120241030506308.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8616","東海東京フィナンシャル・ホールディングス","Prime","証券、商品先物取引業","core","false","true","true","true","false","false","2","2","0","true","false","76","「中期経営計画」における数値目標設定のお知らせ","2022-09-21","https://www2.jpx.co.jp/disc/86160/140120220921534737.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
